Flight_number,Date,Seat_number,Customer_name,Customer_phone
9476,2015-05-25,1A,Jane Frazier,7-(537)894-5613
9476,2015-05-25,1B,Douglas Perry,0-(430)676-7109
9476,2015-05-25,2A,Scott Shaw,3-(822)831-9835
9476,2015-05-25,2B,Larry Wood,6-(392)440-3911
9476,2015-05-25,3A,Marie Kelly,7-(977)607-9306
8283,2015-05-20,1A,Mildred Sullivan,1-(721)319-9130
8283,2015-05-20,1B,Ronald Mccoy,7-(969)872-6758
8283,2015-05-20,2A,Julie Dixon,0-(944)210-8612
8283,2015-05-20,2B,Jimmy Rose,2-(924)973-8493
2918,2015-06-21,3B,Craig Welch,3-(295)295-6500
6259,2015-06-09,1A,Tammy Robinson,7-(353)843-7211
6259,2015-06-09,1B,Tammy Garza,4-(015)976-0405
6259,2015-06-09,2A,Thomas Smith,2-(471)022-6967
6259,2015-06-09,2B,Jonathan Gilbert,1-(956)208-7559
6259,2015-06-09,3A,Ronald Ferguson,2-(568)340-7307
6259,2015-06-09,3B,Ruth Kim,8-(853)924-3022
6259,2015-06-09,4A,Jerry Olson,6-(496)106-0268
6259,2015-06-09,4B,Ruby Walker,2-(489)740-8852
5299,2015-06-20,3A,Sara Grant,2-(495)704-9389
1555,2015-06-05,2B,Randy Palmer,4-(416)116-2806
731,2015-04-12,1A,Kathleen Clark,6-(959)931-9880
731,2015-04-12,1B,Wanda Flores,5-(327)277-6101
731,2015-04-12,2A,Julia Patterson,0-(117)124-9748
731,2015-04-12,2B,Doris Lawrence,6-(715)332-0169
731,2015-04-12,3A,Martha Walker,0-(049)112-0781
731,2015-04-12,3B,Bruce Reid,8-(442)771-1540
731,2015-04-12,4A,Teresa Jordan,1-(075)628-9251
731,2015-04-12,4B,Tammy Davis,9-(742)297-3381
731,2015-04-12,5A,Diana Hart,7-(268)226-6926
731,2015-04-12,5B,Timothy Stanley,1-(515)228-9890
7203,2015-06-27,1A,Diana Little,8-(736)259-2878
7203,2015-06-27,5A,Roy Price,3-(870)133-0829
7203,2015-06-27,3A,Chris Evans,2-(300)587-6559
7203,2015-06-27,8A,Bonnie Cunningham,8-(965)430-9259
7203,2015-06-27,6B,Amy Russell,2-(210)670-8068
7203,2015-06-27,2A,Michelle Rose,4-(849)645-7792
7203,2015-06-27,4B,Alice Jenkins,7-(597)480-4024
7203,2015-06-27,7B,Anthony Fox,3-(339)968-4445
